image_name,color0,color1,color2,color3,color4,color5,color6,color7,color8,color9
38904-00bagli2.jpg,#bc8f8f,#cfcfc4,#8c92ac,#826644,#d3d3d3,#6082b6,#3d2b1f,#d3d3d3,#536895,#a0785a
05266-2hell2.jpg,#321414,#6f4e37,#1a2421,#c19a6b,#918151,#e4d96f,#483c32,#f3e5ab,#51484f,#483c32
38585-smoker_l.jpg,#3d2b1f,#6f4e37,#c19a6b,#4b3621,#a67b5b,#e6be8a,#ffcba4,#4b3621,#1a2421,#645452
35603-05landsd.jpg,#826644,#1a1110,#321414,#100c08,#b38b6d,#a0785a,#483c32,#1a2421,#654321,#555d50
42330-cattle.jpg,#fffafa,#e6e8fa,#321414,#635147,#f5fffa,#a99a86,#f4f0ec,#483c32,#918151,#99badd
20710-s_august.jpg,#826644,#c19a6b,#3d2b1f,#f5deb3,#918151,#4f7942,#e6be8a,#1a2421,#d9603b,#78866b
35485-23mythol.jpg,#1a1110,#826644,#3d2b1f,#da8a67,#100c08,#592720,#cb6d51,#e6be8a,#a0785a,#ffa089
31900-vcharity.jpg,#79443b,#3d2b1f,#3d2b1f,#1a2421,#fdf5e6,#592720,#cd9575,#722f37,#893f45,#cd5b45
07527-28ceras.jpg,#100c08,#1a1110,#321414,#79443b,#b38b6d,#654321,#a67b5b,#cfcfc4,#701c1c,#1a1110
06920-comtesse.jpg,#1a1110,#100c08,#fdd5b1,#826644,#c19a6b,#a0785a,#100c08,#e6be8a,#654321,#483c32
08446-stillhen.jpg,#321414,#7c4848,#f0ead6,#bc987e,#722f37,#321414,#592720,#ad6f69,#c9c0bb,#a0785a
28379-boy_head.jpg,#6f4e37,#4b3621,#c0c0c0,#bc987e,#654321,#c0c0c0,#9f8170,#4b3621,#c9c0bb,#a57164
20066-052guita.jpg,#3d2b1f,#6f4e37,#e3a857,#b78727,#fad6a5,#701c1c,#1a2421,#654321,#e6be8a,#b94e48
42394-cannonsh.jpg,#e3dac9,#c3b091,#7c4848,#3d2b1f,#aa98a9,#dea5a4,#c9c0bb,#4b3621,#a0785a,#796878
11360-dawn.jpg,#253529,#979aaa,#979aaa,#534b4f,#738678,#cfcfc4,#414833,#979aaa,#1a2421,#c0c0c0
28552-argent12.jpg,#1a2421,#645452,#a99a86,#e3dac9,#1a1110,#1a2421,#979aaa,#555d50,#aa98a9,#1a2421
00671-baptist1.jpg,#100c08,#79443b,#bc987e,#3d2b1f,#1a1110,#801818,#ddadaf,#1a1110,#483c32,#701c1c
21706-bacchus.jpg,#100c08,#321414,#100c08,#635147,#a99a86,#78866b,#c9c0bb,#edc9af,#483c32,#592720
08985-02gegypt.jpg,#321414,#d3d3d3,#100c08,#635147,#100c08,#f0ead6,#a99a86,#483c32,#1a2421,#e5e4e2
39297-00view1.jpg,#321414,#6f4e37,#100c08,#b38b6d,#4b3621,#edc9af,#100c08,#654321,#a0785a,#a57164
10557-levada5.jpg,#826644,#a99a86,#91a3b0,#645452,#3d2b1f,#dcdcdc,#aa98a9,#536872,#e3dac9,#1a2421
20994-portrman.jpg,#1a1110,#bc987e,#6f4e37,#1a1110,#1a1110,#1a1110,#9f8170,#483c32,#c9c0bb,#654321
37534-scene03.jpg,#a99a86,#826644,#e3dac9,#3d2b1f,#a0785a,#4d5d53,#d2b48c,#654321,#d3d3d3,#253529
30529-concert3.jpg,#3d2b1f,#635147,#a99a86,#696969,#789,#1a1110,#4b3621,#555,#78866b,#696969
08820-fallman.jpg,#1a2421,#1a2421,#645452,#a99a86,#3d2b1f,#36454f,#1a2421,#cfcfc4,#36454f,#9f8170
13460-self_por.jpg,#3d2b1f,#1a1110,#bc987e,#635147,#100c08,#4b3621,#e3dac9,#483c32,#e6be8a,#a0785a
34290-holyfami.jpg,#3d2b1f,#6f4e37,#536878,#cd9575,#343434,#654321,#1a2421,#8b8589,#654321,#1a2421
